lemma_id,lemma,in_model,nhg_infinitive,nhg_preterite,nhg_preterite_variants,variant_selection,confidence,source_infinitive,source_preterite,curator_note
180,schrîen,yes,schreien,schrie,schrie,single,high,dwds,unimorph-deu-d226d21,
181,schrîten,yes,schreiten,schritt,schritt,single,high,dwds,unimorph-deu-d226d21,
119,schëhen,yes,geschehen,geschah,geschah,single,high,dwds,unimorph-deu-d226d21,
308,schëllen,yes,schellen,schellte,schellte,single,high,unimorph,unimorph-deu-d226d21,
254,schëren,yes,scheren,schor,schor|scherte,policy,policy,unimorph,unimorph-deu-d226d21,strong form still current
96,schînen,yes,scheinen,schien,schien,single,high,dwds,unimorph-deu-d226d21,
22,sehen,yes,sehen,sah,sah,single,high,dwds,unimorph-deu-d226d21,
192,sieden,yes,sieden,sott,sott|siedete,policy,policy,dwds,unimorph-deu-d226d21,"the strong sott is still current, if technical and literary"
193,singen,yes,singen,sang,sang,single,high,dwds,unimorph-deu-d226d21,
194,sinken,yes,sinken,sank,sank,single,high,dwds,unimorph-deu-d226d21,
58,sinnen,yes,sinnen,sann,sann,single,high,dwds,unimorph-deu-d226d21,
59,sitzen,yes,sitzen,saß,saß,single,high,dwds,unimorph-deu-d226d21,
7,slahen,yes,schlagen,schlug,schlug,single,high,dwds,unimorph-deu-d226d21,
55,slâfen,yes,schlafen,schlief,schlief,single,high,dwds,unimorph-deu-d226d21,
175,slîchen,yes,schleichen,schlich,schlich,single,high,dwds,unimorph-deu-d226d21,
8,snîden,yes,schneiden,schnitt,schnitt,single,high,dwds,unimorph-deu-d226d21,
358,spalten,yes,spalten,spaltete,spaltete,single,high,unimorph,unimorph-deu-d226d21,
260,spannen,yes,spannen,spannte,spannte,single,high,unimorph,unimorph-deu-d226d21,
27,sprechen,yes,sprechen,sprach,sprach,single,high,dwds,unimorph-deu-d226d21,
89,springen,yes,springen,sprang,sprang,single,high,dwds,unimorph-deu-d226d21,
33,stechen,yes,stechen,stach,stach,single,high,dwds,unimorph-deu-d226d21,
10,sterben,yes,sterben,starb,starb,single,high,dwds,unimorph-deu-d226d21,
200,stieben,yes,stieben,stob,stob,single,high,dwds,unimorph-deu-d226d21,
