seq_id,lemma_id,principal_part,n_obs
736,233,2,13
737,233,3,9
738,233,4,8
739,234,1,19
740,234,2,14
741,234,3,5
742,234,4,6
743,235,1,34
744,235,2,11
745,235,3,6
746,235,4,16
747,236,1,7
748,236,2,5
749,236,4,2
750,237,1,12
751,237,2,12
752,237,3,10
753,237,4,10
754,238,1,4
755,238,2,7
756,238,3,2
757,239,1,21
758,239,2,10
759,239,3,8
760,239,4,6
761,240,1,21
762,240,2,11
763,240,3,2
764,241,1,2
765,241,2,2
766,241,4,3
767,242,1,7
768,242,2,4
769,242,3,2
770,242,4,2
771,243,1,17
772,243,2,16
773,243,3,7
774,244,1,16
775,244,2,5
776,244,3,3
777,244,4,3
778,245,1,26
779,245,2,13
780,245,3,3
781,245,4,3
782,246,1,9
783,246,3,2
784,246,4,2
785,247,1,13
786,247,2,14
787,247,3,7
788,247,4,13
789,248,1,7
790,248,2,9
791,248,3,4
792,249,1,34
793,249,2,27
794,249,3,16
795,249,4,29
796,250,1,5
797,251,1,6
798,251,2,3
799,251,4,5
800,252,1,11
801,252,2,5
802,252,3,5
803,253,1,4
804,253,4,3
805,254,1,2
806,255,1,6
807,255,2,4
808,256,1,44
809,256,2,21
810,256,3,9
811,256,4,10
812,257,1,12
813,257,2,2
814,257,3,3
815,257,4,2
816,258,1,5
817,258,2,15
818,258,3,6
819,258,4,4
820,259,1,3
821,259,2,2
822,259,3,3
823,259,4,6
824,260,1,3
825,260,2,2
826,260,3,3
827,260,4,4
828,261,1,3
829,261,2,4
830,261,3,3
831,262,1,17
832,262,4,3
833,263,1,16
834,263,2,10
835,263,3,8
836,263,4,7
837,264,1,55
838,264,2,38
839,264,3,30
840,264,4,2
841,265,1,3
842,265,4,4
843,266,1,5
844,266,2,4
845,267,1,2
846,267,2,2
847,267,3,3
848,268,1,2
849,268,2,3
850,269,2,2
851,269,3,2
852,269,4,2
853,270,4,2
854,271,1,2
855,272,1,4
856,272,2,3
857,273,1,3
858,274,1,3
859,274,4,2
860,275,1,4
861,275,3,2
862,275,4,5
863,276,1,5
864,276,2,6
865,276,3,4
866,277,1,3
