"model_row_id","cell_id","document_id","lemma","lemma_std","std_infl","has_levelled","outcome_token_count","leveled_tokens","preserved_tokens","n_tokens","date","log_freq","log_freq_min","log_freq_max","n_log_freq_values","log_token_freq","has_alt_pres","log_alt_pres_freq","has_alt_past","log_alt_past_freq","marking_type","is_bipartite","element_type","variety","corpus"
"MHG:M223|124|PastSg|0","MHG:M223|124|PastSg","MHG:M223","gièzen","124","PastSg",0,1,0,1,1,1185,-4.44550579881528,-4.44550579881528,-4.44550579881528,1,-4.45987985349524,"yes",2.484906649788,"yes",2.30258509299405,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|128|PastSg|0","MHG:M223|128|PastSg","MHG:M223","houwen","128","PastSg",0,2,0,2,2,1185,-3.1893946006524,-3.1893946006524,-3.1893946006524,1,-6.06955448768871,"yes",0.693147180559945,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|133|PastPl|0","MHG:M223|133|PastPl","MHG:M223","hâhen","133","PastPl",0,1,0,1,1,1185,-1.83847796476899,-1.83847796476899,-1.83847796476899,1,-5.63096950632664,"yes",2.70805020110221,"no",0,"vowel_bipartite","1","vowel","Upper German","MHG"
"MHG:M223|156|PastSg|0","MHG:M223|156|PastSg","MHG:M223","pflegen","156","PastSg",0,1,0,1,1,1185,-1.15544608382859,-1.15544608382859,-1.15544608382859,1,-4.12856185110778,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|173|PastSg|0","MHG:M223|173|PastSg","MHG:M223","schëlten","173","PastSg",0,1,0,1,1,1185,-3.48255657781741,-3.48255657781741,-3.48255657781741,1,-5.49974100499403,"yes",3.71357206670431,"yes",3.46573590279973,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|193|PastSg|0","MHG:M223|193|PastSg","MHG:M223","singen","193","PastSg",0,1,0,1,1,1185,-1.39965999071019,-1.39965999071019,-1.39965999071019,1,-4.52811068419451,"yes",3.36729582998647,"yes",3.46573590279973,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|198|PastSg|0","MHG:M223|198|PastSg","MHG:M223","stehlen","198","PastSg",0,1,0,1,1,1185,-3.37500049543912,-3.37500049543912,-3.37500049543912,1,-5.08097933701476,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|214|PastSg|0","MHG:M223|214|PastSg","MHG:M223","er-gëzzen","214","PastSg",0,1,0,1,1,1185,-1.80492242828764,-1.80492242828764,-1.80492242828764,1,-5.1818646188689,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|215|PastPl|0","MHG:M223|215|PastPl","MHG:M223","verlieren","215","PastPl",0,1,0,1,1,1185,-0.808392285652921,-0.808392285652921,-0.808392285652921,1,-5.36280336452208,"yes",2.70805020110221,"yes",2.30258509299405,"vowel_bipartite","1","vowel","Upper German","MHG"
"MHG:M223|215|PastSg|0","MHG:M223|215|PastSg","MHG:M223","verlieren","215","PastSg",0,1,0,1,1,1185,-0.808392285652921,-0.808392285652921,-0.808392285652921,1,-5.43524497162358,"yes",2.484906649788,"yes",2.30258509299405,"vowel_bipartite","1","vowel","Upper German","MHG"
"MHG:M223|237|PastPl|0","MHG:M223|237|PastPl","MHG:M223","hèizen","237","PastPl",0,2,0,2,2,1185,-0.879013504797511,-0.879013504797511,-0.879013504797511,1,-3.68015518693828,"yes",1.38629436111989,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|237|PastSg|0","MHG:M223|237|PastSg","MHG:M223","hèizen","237","PastSg",0,3,0,3,3,1185,-2.32085557228549,-2.32085557228549,-2.32085557228549,1,-0.800399449141021,"yes",1.38629436111989,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M223|329|PastSg|0","MHG:M223|329|PastSg","MHG:M223","kièsen","329","PastSg",0,1,0,1,1,1185,-2.00519620734393,-2.00519620734393,-2.00519620734393,1,-6.06042745820841,"yes",2.484906649788,"yes",2.30258509299405,"vowel_bipartite","1","vowel","Upper German","MHG"
"MHG:M224|4|PastSg|0","MHG:M224|4|PastSg","MHG:M224","lâzen","4","PastSg",0,3,0,3,3,1185,-2.7019322656664,-2.7019322656664,-2.7019322656664,1,-2.4794858743046,"yes",2.70805020110221,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|10|PastPl|0","MHG:M224|10|PastPl","MHG:M224","sterben","10","PastPl",0,1,0,1,1,1185,-2.01969939129432,-2.01969939129432,-2.01969939129432,1,-5.59788912081843,"yes",2.19722457733622,"yes",3.46573590279973,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|13|PastSg|0","MHG:M224|13|PastSg","MHG:M224","treten","13","PastSg",0,1,0,1,1,1185,-2.65534298711838,-2.65534298711838,-2.65534298711838,1,-3.35659609163513,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|15|PastSg|0","MHG:M224|15|PastSg","MHG:M224","wîchen","15","PastSg",0,1,0,1,1,1185,-5.27066833542896,-5.27066833542896,-5.27066833542896,1,-5.80467324936403,"yes",3.40119738166216,"yes",3.3322045101752,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|17|PastPl|0","MHG:M224|17|PastPl","MHG:M224","ziehen","17","PastPl",0,1,0,1,1,1185,-1.59710243835475,-1.59710243835475,-1.59710243835475,1,-4.35247374118765,"yes",2.70805020110221,"yes",2.30258509299405,"vowel_bipartite","1","vowel","Upper German","MHG"
"MHG:M224|20|PastSg|0","MHG:M224|20|PastSg","MHG:M224","vëhten","20","PastSg",0,1,0,1,1,1185,-7.62579841342681,-7.62579841342681,-7.62579841342681,1,-4.04857596755057,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|21|PastSg|0","MHG:M224|21|PastSg","MHG:M224","geben","21","PastSg",0,5,0,5,5,1185,0.971214886397444,0.971214886397444,0.971214886397444,1,-1.28213859406203,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|22|PastPl|0","MHG:M224|22|PastPl","MHG:M224","sehen","22","PastPl",0,1,0,1,1,1185,-2.15062215443733,-2.15062215443733,-2.15062215443733,1,-2.94696845343612,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|25|PastSg|0","MHG:M224|25|PastSg","MHG:M224","ligen","25","PastSg",0,1,0,1,1,1185,-0.170821315785344,-0.170821315785344,-0.170821315785344,1,-2.49049156017185,"yes",3.36729582998647,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|32|PastSg|0","MHG:M224|32|PastSg","MHG:M224","fallen","32","PastSg",0,2,0,2,2,1185,-1.77017724343865,-1.77017724343865,-1.77017724343865,1,-3.70651220968879,"yes",2.70805020110221,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|49|PastSg|0","MHG:M224|49|PastSg","MHG:M224","nëmen","49","PastSg",0,2,0,2,2,1185,0.44632163639913,0.44632163639913,0.44632163639913,1,-1.21522545296322,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|50|PastSg|0","MHG:M224|50|PastSg","MHG:M224","raten","50","PastSg",0,1,0,1,1,1185,-2.73572692079337,-2.73572692079337,-2.73572692079337,1,-4.4040191912735,"yes",2.70805020110221,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|55|PastSg|0","MHG:M224|55|PastSg","MHG:M224","slâfen","55","PastSg",0,1,0,1,1,1185,-3.60309086813389,-3.60309086813389,-3.60309086813389,1,-5.76867976352201,"yes",2.70805020110221,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|65|PastPl|0","MHG:M224|65|PastPl","MHG:M224","triègen","65","PastPl",0,1,0,1,1,1185,-2.45593490417284,-2.45593490417284,-2.45593490417284,1,-6.94694504784096,"yes",2.70805020110221,"yes",2.07944154167984,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|70|PastSg|0","MHG:M224|70|PastSg","MHG:M224","blâsen","70","PastSg",0,1,0,1,1,1185,-6.67417273066874,-6.67417273066874,-6.67417273066874,1,-6.32593688355465,"yes",2.70805020110221,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|85|PastPl|0","MHG:M224|85|PastPl","MHG:M224","gelten","85","PastPl",0,1,0,1,1,1185,-3.12559625558322,-3.12559625558322,-3.12559625558322,1,-6.05146608694171,"yes",2.19722457733622,"yes",3.46573590279973,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|94|PastSg|0","MHG:M224|94|PastSg","MHG:M224","lîden","94","PastSg",0,1,0,1,1,1185,-1.20983769860801,-1.20983769860801,-1.20983769860801,1,-2.987522623612,"yes",3.40119738166216,"yes",3.3322045101752,"vowel_bipartite","1","vowel","Upper German","MHG"
"MHG:M224|101|PastPl|0","MHG:M224|101|PastPl","MHG:M224","werben","101","PastPl",0,1,0,1,1,1185,-2.31298950363868,-2.31298950363868,-2.31298950363868,1,-6.75860655026251,"yes",2.19722457733622,"yes",3.46573590279973,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|118|PastSg|0","MHG:M224|118|PastSg","MHG:M224","genesen","118","PastSg",0,2,0,2,2,1185,-1.49524400772069,-1.49524400772069,-1.49524400772069,1,-3.36889663734318,"yes",3.71357206670431,"no",0,"vowel_bipartite","1","vowel","Upper German","MHG"
"MHG:M224|121|PastSg|0","MHG:M224|121|PastSg","MHG:M224","gewinn","121","PastSg",0,2,0,2,2,1185,-0.314505522151082,-0.314505522151082,-0.314505522151082,1,-1.96606084347282,"yes",3.36729582998647,"yes",3.46573590279973,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|123|PastSg|0","MHG:M224|123|PastSg","MHG:M224","zëmen","123","PastSg",0,1,0,1,1,1185,-1.94919961717312,-1.94919961717312,-1.94919961717312,1,-3.3217462831236,"yes",3.36729582998647,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|167|PastSg|0","MHG:M224|167|PastSg","MHG:M224","rinnen","167","PastSg",0,1,0,1,1,1185,-3.18002754628671,-3.18002754628671,-3.18002754628671,1,-4.6677259590569,"yes",3.36729582998647,"yes",3.46573590279973,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|172|PastSg|0","MHG:M224|172|PastSg","MHG:M224","scheiden","172","PastSg",0,1,0,1,1,1185,-2.9934541714753,-2.9934541714753,-2.9934541714753,1,-4.68472242052995,"yes",1.38629436111989,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|215|PastPl|0","MHG:M224|215|PastPl","MHG:M224","verlieren","215","PastPl",0,1,0,1,1,1185,-0.808392285652921,-0.808392285652921,-0.808392285652921,1,-5.36280336452208,"yes",2.70805020110221,"yes",2.30258509299405,"vowel_bipartite","1","vowel","Upper German","MHG"
"MHG:M224|220|PastSg|0","MHG:M224|220|PastSg","MHG:M224","waschen","220","PastSg",0,1,0,1,1,1185,-6.19552706166064,-6.19552706166064,-6.19552706166064,1,-6.7686435545962,"yes",2.07944154167984,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|237|PastSg|0","MHG:M224|237|PastSg","MHG:M224","hèizen","237","PastSg",0,2,0,2,2,1185,-0.879013504797511,-0.879013504797511,-0.879013504797511,1,-0.800399449141021,"yes",1.38629436111989,"no",0,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|244|PastPl|0","MHG:M224|244|PastPl","MHG:M224","ringen","244","PastPl",0,1,0,1,1,1185,-3.38639560067949,-3.38639560067949,-3.38639560067949,1,-7.0912779764061,"yes",3.09104245335832,"yes",3.46573590279973,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M224|322|PastSg|0","MHG:M224|322|PastSg","MHG:M224","er-wërden","322","PastSg",0,1,0,1,1,1185,-4.75256577659654,-4.75256577659654,-4.75256577659654,1,-5.20498929675714,"yes",3.71357206670431,"yes",3.46573590279973,"vowel_unipartite","0","vowel","Upper German","MHG"
"MHG:M232|2|PastSg|0","MHG:M232|2|PastSg","MHG:M232","helfen","2","PastSg",0,1,0,1,1,1185,-0.650922976996221,-0.650922976996221,-0.650922976996221,1,-3.23146412813475,"yes",3.46573590279973,"yes",3.2188758248682,"vowel_unipartite","0","vowel","Central German","MHG"
"MHG:M232|3|PastPl|0","MHG:M232|3|PastPl","MHG:M232","komen","3","PastPl",0,2,0,2,2,1185,-2.27805062191844,-2.27805062191844,-2.27805062191844,1,-2.5410349418653,"yes",0,"no",0,"vowel_unipartite","0","vowel","Central German","MHG"
"MHG:M232|3|PastSg|0","MHG:M232|3|PastSg","MHG:M232","komen","3","PastSg",0,4,0,4,4,1185,0.00740614324649458,0.00740614324649458,0.00740614324649458,1,-1.63460213524974,"yes",0,"no",0,"vowel_unipartite","0","vowel","Central German","MHG"
"MHG:M232|4|PastPl|0","MHG:M232|4|PastPl","MHG:M232","lâzen","4","PastPl",0,1,0,1,1,1185,0.367627352345826,0.367627352345826,0.367627352345826,1,-3.8327901841705,"yes",2.484906649788,"no",0,"vowel_unipartite","0","vowel","Central German","MHG"
"MHG:M232|8|PastSg|0","MHG:M232|8|PastSg","MHG:M232","snîden","8","PastSg",0,1,0,1,1,1185,-2.61745104050111,-2.61745104050111,-2.61745104050111,1,-5.90154325658407,"yes",2.94443897916644,"yes",2.83321334405622,"vowel_bipartite","1","vowel","Central German","MHG"
"MHG:M232|17|PastPl|0","MHG:M232|17|PastPl","MHG:M232","ziehen","17","PastPl",0,1,0,1,1,1185,-1.59710243835475,-1.59710243835475,-1.59710243835475,1,-4.35247374118765,"yes",2.77258872223978,"yes",2.19722457733622,"vowel_bipartite","1","vowel","Central German","MHG"
"MHG:M232|17|PastSg|0","MHG:M232|17|PastSg","MHG:M232","ziehen","17","PastSg",0,2,0,2,2,1185,-1.59710243835475,-1.59710243835475,-1.59710243835475,1,-3.4171284656477,"yes",2.39789527279837,"yes",2.19722457733622,"vowel_bipartite","1","vowel","Central German","MHG"
"MHG:M232|22|PastPl|0","MHG:M232|22|PastPl","MHG:M232","sehen","22","PastPl",0,3,0,3,3,1185,0.480229325565564,0.480229325565564,0.480229325565564,1,-2.94696845343612,"yes",3.46573590279973,"no",0,"vowel_unipartite","0","vowel","Central German","MHG"
"MHG:M232|22|PastSg|0","MHG:M232|22|PastSg","MHG:M232","sehen","22","PastSg",0,11,0,11,11,1185,0.121816840019448,0.121816840019448,0.121816840019448,1,-1.55686693786706,"yes",3.46573590279973,"no",0,"vowel_unipartite","0","vowel","Central German","MHG"
"MHG:M232|25|PastPl|0","MHG:M232|25|PastPl","MHG:M232","ligen","25","PastPl",0,1,0,1,1,1185,-0.170821315785344,-0.170821315785344,-0.170821315785344,1,-3.50026047683539,"yes",3.29583686600433,"no",0,"vowel_unipartite","0","vowel","Central German","MHG"
"MHG:M232|25|PastSg|0","MHG:M232|25|PastSg","MHG:M232","ligen","25","PastSg",0,3,0,3,3,1185,-0.170821315785344,-0.170821315785344,-0.170821315785344,1,-2.49049156017185,"yes",3.29583686600433,"no",0,"vowel_unipartite","0","vowel","Central German","MHG"
"MHG:M232|27|PastPl|0","MHG:M232|27|PastPl","MHG:M232","sprechen","27","PastPl",0,2,0,2,2,1185,1.49772611590755,1.49772611590755,1.49772611590755,1,-2.30119904629653,"yes",3.46573590279973,"no",0,"vowel_unipartite","0","vowel","Central German","MHG"
"MHG:M232|27|PastSg|0","MHG:M232|27|PastSg","MHG:M232","sprechen","27","PastSg",0,10,0,10,10,1185,0.180617324121082,0.180617324121082,0.180617324121082,1,-0.140614678045866,"yes",3.46573590279973,"no",0,"vowel_unipartite","0","vowel","Central German","MHG"
"MHG:M232|30|PastPl|0","MHG:M232|30|PastPl","MHG:M232","brechen","30","PastPl",0,1,0,1,1,1185,-5.06668337625724,-5.06668337625724,-5.06668337625724,1,-4.92961429245077,"yes",3.46573590279973,"no",0,"vowel_unipartite","0","vowel","Central German","MHG"
"MHG:M232|31|PastPl|0","MHG:M232|31|PastPl","MHG:M232","dringen","31","PastPl",0,1,0,1,1,1185,-7.62579841342681,-7.62579841342681,-7.62579841342681,1,-5.10396635890932,"no",0,"yes",3.2188758248682,"vowel_unipartite","0","vowel","Central German","MHG"
"MHG:M232|33|PastSg|0","MHG:M232|33|PastSg","MHG:M232","stechen","33","PastSg",0,1,0,1,1,1185,-2.17762729230447,-2.17762729230447,-2.17762729230447,1,-3.61786391795558,"yes",3.46573590279973,"no",0,"vowel_unipartite","0","vowel","Central German","MHG"
"MHG:M232|39|PastSg|0","MHG:M232|39|PastSg","MHG:M232","finden","39","PastSg",0,1,0,1,1,1185,-0.257738289781597,-0.257738289781597,-0.257738289781597,1,-2.69032329682431,"yes",3.29583686600433,"yes",3.2188758248682,"vowel_unipartite","0","vowel","Central German","MHG"
