form,norm,lemma,grapho,date,id,lemma_count,lemma_freq_per_1000,form_count,form_freq_per_1000,corpus,lemma_id,variety,principal_part,base_lemma,form_normalized,base_form,stem,base_stem,vowel_alternation,cons_alternation
halden,halden,halten,,1425.0,t15472,2619,9.980831011840566,211,0.8041066603659256,ENHG,24,Central German,1,halten,halden,halden,hald,hald,no,no
brocht,brocht,bringen,,1425.0,t15504,2168,8.262100661958895,30,0.1143279611894681,ENHG,73,Central German,4,bringen,brocht,brenget,broχ,breng,yes,yes
wiſſet,wiſſet,wissen,,1425.0,t15536,2994,11.409930526708916,78,0.2972526990926171,ENHG,221,Central German,1,wissen,wiset,wisen,wis,wis,no,no
fordern,fordern,fordern,,1425.0,t15604,191,0.727888019572947,49,0.1867356699427979,ENHG,107,Central German,1,fordern,fordern,fordern,forder,forder,no,no
wíſſet,wíſſet,wissen,,1425.0,t15622,2994,11.409930526708916,10,0.0381093203964893,ENHG,221,Central German,1,wissen,wíset,wisen,wis,wis,no,no
beſcheíden·,beſcheíden,bescheiden,,1425.0,t15647,140,0.5335304855508513,3,0.0114327961189468,ENHG,52,Central German,1,bescheiden,bescheíden,bescheiden,beʃeid,beʃeid,no,no
Wíſſet,Wíſſet,wissen,,1425.0,t15671,2994,11.409930526708916,1,0.0038109320396489,ENHG,221,Central German,1,wissen,wíset,wisen,wis,wis,no,no
geſaczt,geſaczt,setzen,,1425.0,t15733,1699,6.474773535363544,76,0.2896308350133192,ENHG,190,Central German,4,setzen,gesaczt,setzen,saz,seʦ,yes,yes
ſchreibet,ſchreibet,schreiben,,1425.0,t15872,1069,4.073886350384714,47,0.1791138058635,ENHG,26,Central German,1,schreiben,schreibet,schreib,ʃreib,ʃreib,no,no
geſchen,geſchen,geschehen,,1425.0,t15897,2302,8.772765555271853,63,0.240088718497883,ENHG,118,Central German,1,geschehen,geschen,geschen,geʃ,geʃ,no,no
ſchreíben,ſchreíben,schreiben,,1425.0,t15963,1069,4.073886350384714,6,0.0228655922378936,ENHG,26,Central German,1,schreiben,schreíben,schreib,ʃreib,ʃreib,no,no
komen,komen,kommen,,1425.0,t16141,7651,29.15744103535402,977,3.723280602737012,ENHG,3,Central German,4,kommen,komen,kompt,kom,komp,no,no
loſſen,loſſen,lassen,,1425.0,t16191,3635,13.852737964123886,56,0.2134121942203404,ENHG,4,Central German,1,lassen,losen,lasen,los,las,yes,no
bindet,bindet,halten,,1425.0,t16242,2619,9.980831011840566,12,0.0457311844757872,ENHG,24,Central German,1,halten,bindet,halden,bind,hald,yes,yes
leyt,leyt,liegen,,1425.0,t16386,2283,8.700357846518523,72,0.2743871068547234,ENHG,25,Central German,1,liegen,leyt,ligen,lei,lig,yes,no
geſcheen·,geſcheen,geschehen,,1425.0,t16455,2302,8.772765555271853,133,0.5068539612733086,ENHG,118,Central German,1,geschehen,geschen,geschen,geʃ,geʃ,no,no
geſchícht,geſchícht,geschehen,,1425.0,t16475,2302,8.772765555271853,20,0.0762186407929787,ENHG,118,Central German,1,geschehen,geschícht,geschen,geʃiχ,geʃ,yes,no
geſcheen·,geſcheen,geschehen,,1425.0,t16536,2302,8.772765555271853,133,0.5068539612733086,ENHG,118,Central German,1,geschehen,geschen,geschen,geʃ,geʃ,no,no
geczogen·,geczogen,ziehen,,1425.0,t16614,1321,5.034241224376246,30,0.1143279611894681,ENHG,17,Central German,4,ziehen,geczogen,zihen,zog,zih,yes,yes
bekennen·,bekennen,bekennen,,1425.0,t16642,591,2.252260835432521,163,0.6211819224627767,ENHG,45,Central German,1,bekennen,bekenen,bekenen,beken,beken,no,no
kompt,kompt,kommen,,1425.0,t16654,7651,29.15744103535402,421,1.6044023886922023,ENHG,3,Central German,1,kommen,kompt,kompt,komp,komp,no,no
vynt,vynt,finden,,1425.0,t16674,2689,10.24759625461599,10,0.0381093203964893,ENHG,38,Central German,1,finden,vynt,vinde,vin,vind,no,no
helt,helt,halten,,1425.0,t16687,2619,9.980831011840566,273,1.04038444682416,ENHG,24,Central German,1,halten,helt,halden,hel,hald,yes,no
leyt,leyt,liegen,,1425.0,t16720,2283,8.700357846518523,72,0.2743871068547234,ENHG,25,Central German,1,liegen,leyt,ligen,lei,lig,yes,no
leſt,leſt,lassen,,1425.0,t16733,3635,13.852737964123886,207,0.78886293220733,ENHG,4,Central German,1,lassen,lest,lasen,le,las,yes,no
geſchen·,geſchen,geschehen,,1425.0,t16785,2302,8.772765555271853,63,0.240088718497883,ENHG,118,Central German,1,geschehen,geschen,geschen,geʃ,geʃ,no,no
geſchen,geſchen,geschehen,,1425.0,t16831,2302,8.772765555271853,63,0.240088718497883,ENHG,118,Central German,1,geschehen,geschen,geschen,geʃ,geʃ,no,no
geſchen,geſchen,geschehen,,1425.0,t16836,2302,8.772765555271853,63,0.240088718497883,ENHG,118,Central German,1,geschehen,geschen,geschen,geʃ,geʃ,no,no
geſchen,geſchen,geschehen,,1425.0,t16852,2302,8.772765555271853,63,0.240088718497883,ENHG,118,Central German,1,geschehen,geschen,geschen,geʃ,geʃ,no,no
geſchen,geſchen,geschehen,,1425.0,t16888,2302,8.772765555271853,63,0.240088718497883,ENHG,118,Central German,1,geschehen,geschen,geschen,geʃ,geʃ,no,no
czewhet,czewhet,ziehen,,1425.0,t16890,1321,5.034241224376246,7,0.0266765242775425,ENHG,17,Central German,1,ziehen,czewhet,zihen,zewh,zih,yes,yes
nemen,nemen,nehmen,,1425.0,t16944,3364,12.819975381379024,837,3.1897501171861604,ENHG,47,Central German,1,nehmen,nemen,nemen,nem,nem,no,no
geſchen·,geſchen,geschehen,,1425.0,t16961,2302,8.772765555271853,63,0.240088718497883,ENHG,118,Central German,1,geschehen,geschen,geschen,geʃ,geʃ,no,no
nemen,nemen,nehmen,,1425.0,t16997,3364,12.819975381379024,837,3.1897501171861604,ENHG,47,Central German,1,nehmen,nemen,nemen,nem,nem,no,no
nemen,nemen,nehmen,,1425.0,t17053,3364,12.819975381379024,837,3.1897501171861604,ENHG,47,Central German,1,nehmen,nemen,nemen,nem,nem,no,no
ſpreche,ſpreche,sprechen,,1425.0,t17272,8120,30.94476816194937,98,0.3734713398855958,ENHG,27,Central German,1,sprechen,spreche,spricht,spreχ,spriχ,yes,no
