form,norm,lemma,grapho,date,id,lemma_count,lemma_freq_per_1000,form_count,form_freq_per_1000,corpus,lemma_id,variety,principal_part,base_lemma,form_normalized,base_form,stem,base_stem,vowel_alternation,cons_alternation,modern_lemma_count
uergaz,vergaz,ver-gëzzen,--,1145.0,M121Y,424,0.1643872156372563,16,0.0062032911561228,MHG,213,Upper German,2,gëzzen,vergaz,vergezen,gaz,gez,yes,no,235345
benoͮmen,benomen,be-nëmen,--,1145.0,M121Y,262,0.1015788926815121,1,0.0003877056972576,MHG,47,Upper German,4,nëmen,benomen,nemen,nom,nem,yes,no,1089016
uolekomeſt,volkumest,voll-komen,--,1145.0,M121Y,53,0.020548401954657,1,0.0003877056972576,MHG,3,Upper German,1,komen,volkumest,kumet,volkum,kum,yes,yes,2282150
beſlagen,beslagen,be-slahen,--,1145.0,M121Y,25,0.009692642431442,7,0.0027139398808037,MHG,7,Upper German,4,slahen,beslagen,slahen,slag,slah,no,yes,198277
geſciet,geschiet,ge-schèiden,--,1145.0,M121Y,129,0.0500140349462407,3,0.001163117091773,MHG,171,Upper German,2,schèiden,geschiet,scheiden,ʃi,ʃeid,yes,no,94027
engult,entgülte,ent-gëlten,--,1145.0,M121Y,113,0.0438107437901178,1,0.0003877056972576,MHG,84,Upper German,3,gëlten,entgülte,gelten,gült,lte,yes,no,630528
ſinne,sinne,sinnen,--,1145.0,M121Y,25,0.009692642431442,1,0.0003877056972576,MHG,56,Upper German,1,sinnen,sine,versinen,sin,sin,no,no,4616
uerſnait,versneit,ver-snîden,--,1145.0,M121Y,36,0.0139574051012764,9,0.0034893512753191,MHG,8,Upper German,2,snîden,versneit,snîden,snei,snid,yes,no,26314
enſtande,entstande,ent-stân,--,1145.0,M121Y,65,0.0252008703217492,1,0.0003877056972576,MHG,9,Upper German,2,stân,entstande,stêt,enʦta,ste,yes,yes,1656734
uergezze,vergezze,ver-gëzzen,--,1145.0,M121Y,424,0.1643872156372563,7,0.0027139398808037,MHG,213,Upper German,1,gëzzen,vergeze,vergezen,gez,gez,no,no,235345
gehalf,gehalf,ge-hëlfen,--,1145.0,M121Y,111,0.0430353323956024,13,0.0050401740643498,MHG,2,Upper German,2,hëlfen,gehalf,helfen,half,helf,yes,no,445173
be⸗nement,benement,be-nëmen,--,1145.0,M121Y,262,0.1015788926815121,1,0.0003877056972576,MHG,47,Upper German,1,nëmen,benement,nemen,nem,nem,no,no,1089016
la,lâs,lâzen,--,1145.0,M121Y,3725,1.4442037222848585,258,0.1000280698924814,MHG,4,Upper German,1,lâzen,lâs,lâzen,las,laz,no,no,1408679
reſtirbeſt,erstirbest,er-stërben,--,1145.0,M121Y,342,0.1325953484621266,1,0.0003877056972576,MHG,10,Upper German,1,stërben,erstirbest,sterben,stirb,sterb,yes,no,381096
lazent,lâzent,lâzen,--,1145.0,M121Y,3725,1.4442037222848585,21,0.0081418196424112,MHG,4,Upper German,1,lâzen,lâzent,lâzen,laz,laz,no,no,1408679
beſlief,beslief,be-slâfen,--,1145.0,M121Y,6,0.002326234183546,2,0.0007754113945153,MHG,53,Upper German,2,slâfen,beslief,slâfen,slief,slaf,yes,no,21893
miten,miten,mîden,--,1145.0,M121Y,81,0.031404161477872,2,0.0007754113945153,MHG,147,Upper German,3,mîden,miten,vermîden,mit,mid,no,no,269327
uerſluch,versluoc,ver-slahen,--,1145.0,M121Y,24,0.0093049367341843,1,0.0003877056972576,MHG,7,Upper German,2,slahen,versluoc,slahen,sluoc,slah,yes,yes,198277
uermait,vermeit,ver-mîden,--,1145.0,M121Y,183,0.0709501425981554,1,0.0003877056972576,MHG,147,Upper German,2,mîden,vermeit,vermîden,mei,mid,yes,no,269327
eruallen,ervallen,er-vallen,--,1145.0,M121Y,37,0.0143451107985341,7,0.0027139398808037,MHG,31,Upper German,4,vallen,ervalen,gevelet,val,vel,yes,no,255517
ſlugen,slugen,slahen,--,1145.0,M121Y,1246,0.4830812987830694,56,0.02171151904643,MHG,7,Upper German,3,slahen,slugen,slahen,slug,slah,yes,yes,198277
ſtachen,stâchen,stëchen,--,1145.0,M121Y,292,0.1132100635992425,18,0.0069787025506382,MHG,32,Upper German,3,stëchen,stâchen,stechen,staχ,steχ,yes,no,14345
gebrachen,gebrâchen,ge-brëchen/nider(e)>+,--,1145.0,M121Y,1,0.0003877056972576,3,0.001163117091773,MHG,29,Upper German,3,brëchen,gebrâchen,brechen,braχ,breχ,yes,no,93407
geflihen,gevliehen,ge-vlièhen,--,1145.0,M121Y,16,0.0062032911561228,6,0.002326234183546,MHG,83,Upper German,1,vlièhen,gevliehen,vliehen,vlieh,vlieh,no,no,61334
uergan,vergân,ver-gân/ane>+,--,1145.0,M121Y,3,0.001163117091773,3,0.001163117091773,MHG,1,Upper German,1,gân,vergân,gên,ga,ge,yes,no,1624058
behilteſt,behieltest,be-halten,--,1145.0,M121Y,1035,0.4012753966616988,1,0.0003877056972576,MHG,24,Upper German,3,halten,behieltest,behalten,hielt,halt,yes,no,748357
genemen,genemen,ge-nëmen,--,1145.0,M121Y,161,0.0624206172584864,25,0.009692642431442,MHG,47,Upper German,1,nëmen,genemen,nemen,nem,nem,no,no,1089016
ergeben,ergeben,er-gëben,--,1145.0,M121Y,118,0.0457492722764062,37,0.0143451107985341,MHG,21,Upper German,4,gëben,ergeben,geben,geb,be,no,yes,3796581
reſehe,ersehe,er-sëhen,--,1145.0,M121Y,212,0.0821936078186281,1,0.0003877056972576,MHG,22,Upper German,1,sëhen,ersehe,sehen,seh,seh,no,no,2454558
zebrihche,zerbriche,zer-brëchen,--,1145.0,M121Y,319,0.1236781174251999,1,0.0003877056972576,MHG,29,Upper German,1,brëchen,zerbriche,brechen,briχ,breχ,yes,no,93407
zebrechent,zerbrechent,zer-brëchen,--,1145.0,M121Y,319,0.1236781174251999,5,0.0019385284862884,MHG,29,Upper German,1,brëchen,zerbrechent,brechen,breχ,breχ,no,no,93407
ſihit,sihet,sëhen/ane>+,--,1145.0,M121Y,300,0.116311709177304,30,0.0116311709177304,MHG,22,Upper German,1,sëhen,sihet,sehen,sih,seh,yes,no,2454558
ubertrifet,übertriffet,über-trëffen,--,1145.0,M121Y,15,0.0058155854588652,1,0.0003877056972576,MHG,62,Upper German,1,trëffen,übertrifet,übertrifet,trif,trif,no,no,297802
reuahten,ervâhten,er-vëhten,--,1145.0,M121Y,42,0.0162836392848225,2,0.0007754113945153,MHG,20,Upper German,3,vëhten,ervâhten,vehten,vaht,veht,yes,no,3324
benæmen,benemen,be-nëmen,--,1145.0,M121Y,262,0.1015788926815121,1,0.0003877056972576,MHG,47,Upper German,1,nëmen,benemen,nemen,nem,nem,no,no,1089016
gerætet,gerætet,ge-râten,--,1145.0,M121Y,136,0.0527279748270444,1,0.0003877056972576,MHG,48,Upper German,1,râten,gerætet,râten,rät,rat,yes,no,53392
miſſeuarn,missevarn,misse-var(e)n,--,1145.0,M121Y,11,0.0042647626698344,3,0.001163117091773,MHG,89,Upper German,4,varen,misevarn,varn,misevar,var,yes,yes,228317
enb⸗oͮten,entbuten,ent-bièten,--,1145.0,M121Y,205,0.0794796679378244,1,0.0003877056972576,MHG,18,Upper German,3,bièten,entbuten,gebiutet,but,biut,yes,no,168728
uermidᵉn,vermîden,ver-mîden,--,1145.0,M121Y,183,0.0709501425981554,1,0.0003877056972576,MHG,147,Upper German,1,mîden,vermîden,vermîden,mid,mid,no,no,269327
erſluͦge,erslüege,er-slahen,--,1145.0,M121Y,708,0.2744956336584375,3,0.001163117091773,MHG,7,Upper German,3,slahen,erslüege,slahen,slüeg,slah,yes,yes,198277
loͮfen,loufen,loufen,--,1145.0,M121Y,353,0.136860111131961,6,0.002326234183546,MHG,5,Upper German,1,loufen,loufen,löufet,louf,löuf,yes,no,251388
uerphlach,verpflac,ver-pflëgen,--,1145.0,M121Y,10,0.0038770569725768,1,0.0003877056972576,MHG,155,Upper German,2,pflëgen,verpflac,pflegen,flac,fleg,yes,yes,59263
ſlaffent,slâfent,slâfen,--,1145.0,M121Y,255,0.0988649528007084,8,0.0031016455780614,MHG,53,Upper German,1,slâfen,slâfent,slâfen,slaf,slaf,no,no,21893
ſan,san,sinnen/zuo>+,--,1145.0,M121Y,1,0.0003877056972576,10,0.0038770569725768,MHG,56,Upper German,2,sinnen,san,versinen,sa,sin,yes,no,4616
zeuielen,zervielen,zer-vallen,--,1145.0,M121Y,13,0.0050401740643498,2,0.0007754113945153,MHG,31,Upper German,3,vallen,zervielen,gevelet,viel,vel,yes,no,255517
uberkomen,überkomen,über-komen,--,1145.0,M121Y,41,0.0158959335875648,2,0.0007754113945153,MHG,3,Upper German,1,komen,überkomen,kumet,kom,kum,yes,no,2282150
gehilfet,gehilfet,ge-hëlfen,--,1145.0,M121Y,111,0.0430353323956024,4,0.0015508227890307,MHG,2,Upper German,1,hëlfen,gehilfet,helfen,hilf,helf,yes,no,445173
geſtriten,gestrîten,ge-strîten,--,1145.0,M121Y,33,0.0127942880095034,20,0.0077541139451536,MHG,60,Upper German,1,strîten,gestrîten,strîten,strit,strit,no,no,47049
re⸗gaben,ergâben,er-gëben,--,1145.0,M121Y,118,0.0457492722764062,1,0.0003877056972576,MHG,21,Upper German,3,gëben,ergâben,geben,gab,be,yes,yes,3796581
geweget,gewegete,ge-wëgen,--,1145.0,M121Y,21,0.0081418196424112,4,0.0015508227890307,MHG,101,Upper German,2,wëgen,gewegete,wegen,weget,weg,yes,no,6407
graben,graben,graben,--,1145.0,M121Y,60,0.0232623418354608,11,0.0042647626698344,MHG,41,Upper German,1,graben,graben,begraben,grab,grab,no,no,34724
geſcieden,geschieden,ge-schèiden,--,1145.0,M121Y,129,0.0500140349462407,3,0.001163117091773,MHG,171,Upper German,3,schèiden,geschieden,scheiden,ʃied,ʃeid,yes,no,94027
beſizzet,besitzet,be-sitzen,--,1145.0,M121Y,467,0.1810585606193366,5,0.0019385284862884,MHG,57,Upper German,1,sitzen,besitzet,sitzen,siʦ,siʦ,no,no,171469
widerrieten,widerrieten,wider-râten,--,1145.0,M121Y,13,0.0050401740643498,3,0.001163117091773,MHG,48,Upper German,3,râten,widerieten,râten,iet,rat,yes,no,53392
getwanch,gedwanc,ge-dwingen,--,1145.0,M121Y,26,0.0100803481286996,1,0.0003877056972576,MHG,65,Upper German,2,dwingen,gedwanc,twingen,dwanc,twing,yes,yes,62438
enphahent,entvâhent,ent-vâhen,--,1145.0,M121Y,1799,0.6974825493665664,28,0.010855759523215,MHG,19,Upper German,1,vâhen,entvâhent,entvâhen,vah,vah,no,no,75600
tribe,trîbe,trîben,--,1145.0,M121Y,327,0.1267797630032613,21,0.0081418196424112,MHG,12,Upper German,1,trîben,trîbe,trîben,trib,trib,no,no,64758
gehilfeſt,gehilfest,ge-hëlfen,--,1145.0,M121Y,111,0.0430353323956024,1,0.0003877056972576,MHG,2,Upper German,1,hëlfen,gehilfest,helfen,hilf,helf,yes,no,445173
uergulten,vergulten,ver-gëlten,--,1145.0,M121Y,201,0.0779288451487937,1,0.0003877056972576,MHG,84,Upper German,3,gëlten,vergulten,gelten,gult,lte,yes,no,630528
ſunke,sünke,sinken,--,1145.0,M121Y,22,0.0085295253396689,1,0.0003877056972576,MHG,193,Upper German,3,sinken,sünke,versinken,sünk,sink,yes,no,53226
retrunke,ertrünke,er-trinken,--,1145.0,M121Y,64,0.0248131646244915,1,0.0003877056972576,MHG,97,Upper German,3,trinken,ertrünke,trinken,trünk,trink,yes,no,27995
ſpræche,spræche,sprëchen,--,1145.0,M121Y,11533,4.471409806472824,12,0.0046524683670921,MHG,27,Upper German,3,sprëchen,spræche,sprechen,spräχ,spreχ,yes,no,559127
miſſe⸗gangen,missegangen,misse-gân,--,1145.0,M121Y,56,0.02171151904643,1,0.0003877056972576,MHG,1,Upper German,4,gân,misegangen,gên,misegang,ge,yes,yes,1624058
getwͦng,gedwünge,ge-dwingen,--,1145.0,M121Y,26,0.0100803481286996,1,0.0003877056972576,MHG,65,Upper German,3,dwingen,gedwünge,twingen,dwüng,twing,yes,yes,62438
wehen,wichen,wîchen,--,1145.0,M121Y,81,0.031404161477872,1,0.0003877056972576,MHG,15,Upper German,3,wîchen,wichen,entwîchen,wiχ,wiχ,no,no,6550
gundes,gundes,gunnen,--,1145.0,M121Y,184,0.0713378482954131,1,0.0003877056972576,MHG,125,Upper German,3,gunnen,gundes,gan,gund,ga,yes,yes,6840
geſihe,gesihe,ge-sëhen,--,1145.0,M121Y,1120,0.4342303809286016,7,0.0027139398808037,MHG,22,Upper German,1,sëhen,gesihe,sehen,sih,seh,yes,no,2454558
trage,trage,tragen,--,1145.0,M121Y,1651,0.6401021061724298,49,0.0189975791656263,MHG,11,Upper German,1,tragen,trage,tragen,trag,trag,no,no,518200
betwanch,bedwanc,be-dwingen,--,1145.0,M121Y,203,0.078704256543309,8,0.0031016455780614,MHG,65,Upper German,2,dwingen,bedwanc,twingen,dwanc,twing,yes,yes,62438
uerlorn,verluren,ver-lièsen,--,1145.0,M121Y,1149,0.4454738461490743,137,0.0531156805243021,MHG,214,Upper German,3,lièsen,verluren,verliesen,lur,lies,yes,yes,352961
underuoͮr,undervuor,unter-var(e)n,--,1145.0,M121Y,10,0.0038770569725768,1,0.0003877056972576,MHG,89,Upper German,2,varen,undervuor,varn,undervuor,var,yes,yes,228317
engelte,entgelte,ent-gëlten,--,1145.0,M121Y,113,0.0438107437901178,3,0.001163117091773,MHG,84,Upper German,1,gëlten,entgelte,gelten,lte,lte,no,no,630528
uehteſt,vihtest,vëhten,--,1145.0,M121Y,340,0.1318199370676112,1,0.0003877056972576,MHG,20,Upper German,1,vëhten,vihtest,vehten,viht,veht,yes,no,3324
begruͦb,begruop,be-graben,--,1145.0,M121Y,267,0.1035174211678005,7,0.0027139398808037,MHG,41,Upper German,2,graben,begruop,begraben,gruop,grab,yes,no,34724
beſtunden,bestuonden,be-stân,--,1145.0,M121Y,490,0.1899757916562632,4,0.0015508227890307,MHG,9,Upper German,3,stân,bestuonden,stêt,stuo,ste,yes,no,1656734
ſtarp,starp,stërben,--,1145.0,M121Y,743,0.2880653330624563,58,0.0224869304409454,MHG,10,Upper German,2,stërben,starp,sterben,starp,sterb,yes,no,381096
tringen,dringen,dringen,--,1145.0,M121Y,155,0.0600943830749404,1,0.0003877056972576,MHG,30,Upper German,1,dringen,dringen,dringen,dring,dring,no,no,19539
uloͮgen,vlugen,vliègen,--,1145.0,M121Y,159,0.0616452058639711,1,0.0003877056972576,MHG,106,Upper German,3,vliègen,vlugen,vliegen,vlug,vlieg,yes,no,73191
geſtriten,gestriten,ge-strîten,--,1145.0,M121Y,33,0.0127942880095034,20,0.0077541139451536,MHG,60,Upper German,3,strîten,gestriten,strîten,strit,strit,no,no,47049
begat,begât,be-gân,--,1145.0,M121Y,716,0.2775972792364989,45,0.0174467563765956,MHG,1,Upper German,1,gân,begât,gên,ga,ge,yes,no,1624058
belogen,belogen,be-liègen,--,1145.0,M121Y,4,0.0015508227890307,2,0.0007754113945153,MHG,25,Upper German,4,liègen,belogen,liegen,log,lieg,yes,no,1468865
underkomen,underkomen,unter-komen,--,1145.0,M121Y,19,0.0073664082478959,1,0.0003877056972576,MHG,3,Upper German,4,komen,underkomen,kumet,underkom,kum,yes,yes,2282150
getra⸗ge,getrage,ge-tragen,--,1145.0,M121Y,99,0.0383828640285103,1,0.0003877056972576,MHG,11,Upper German,1,tragen,getrage,tragen,trag,trag,no,no,518200
begangen,begangen,be-gân,--,1145.0,M121Y,716,0.2775972792364989,66,0.0255885760190068,MHG,1,Upper German,4,gân,begangen,gên,gang,ge,yes,yes,1624058
eruiel,erviel,er-vallen,--,1145.0,M121Y,37,0.0143451107985341,1,0.0003877056972576,MHG,31,Upper German,2,vallen,erviel,gevelet,viel,vel,yes,no,255517
widerſazen,widersâzen,wider-sitzen,--,1145.0,M121Y,6,0.002326234183546,1,0.0003877056972576,MHG,57,Upper German,3,sitzen,widersâzen,sitzen,saz,siʦ,yes,yes,171469
uoͮren,vüeren,var(e)n,--,1145.0,M121Y,2188,0.848300065599804,36,0.0139574051012764,MHG,89,Upper German,3,varen,vüeren,varn,vüer,var,yes,no,228317
uertrugen,vertrüegen,ver-tragen,--,1145.0,M121Y,168,0.0651345571392902,3,0.001163117091773,MHG,11,Upper German,3,tragen,vertrüegen,tragen,trüeg,trag,yes,no,518200
gelunge,gelünge,ge-lingen,--,1145.0,M121Y,60,0.0232623418354608,4,0.0015508227890307,MHG,114,Upper German,3,lingen,gelünge,gelingen,lüng,ling,yes,no,306444
erliden,erlîden,er-lîden,--,1145.0,M121Y,145,0.0562173261023636,22,0.0085295253396689,MHG,93,Upper German,1,lîden,erlîden,lîden,lid,lid,no,no,70497
gehoͮben,gehuoben,ge-hèben/ûf>+,--,1145.0,M121Y,8,0.0031016455780614,1,0.0003877056972576,MHG,90,Upper German,3,hèben,gehuoben,hebet,huob,heb,yes,no,74485
reſlugen,ersluogen,er-slahen,--,1145.0,M121Y,708,0.2744956336584375,2,0.0007754113945153,MHG,7,Upper German,3,slahen,ersluogen,slahen,sluog,slah,yes,yes,198277
underſlugen,undersluogen,unter-slahen,--,1145.0,M121Y,4,0.0015508227890307,1,0.0003877056972576,MHG,7,Upper German,3,slahen,undersluogen,slahen,undersluog,slah,yes,yes,198277
geræche,geræche,ge-rëchen,--,1145.0,M121Y,84,0.0325672785696451,1,0.0003877056972576,MHG,167,Upper German,3,rëchen,geræche,rechen,räχ,reχ,yes,no,8668
ubertraf,übertraf,über-trëffen,--,1145.0,M121Y,15,0.0058155854588652,1,0.0003877056972576,MHG,62,Upper German,2,trëffen,übertraf,übertrifet,traf,trif,yes,no,297802
gelten,gelten,gëlten,--,1145.0,M121Y,491,0.1903634973535209,89,0.0345058070559335,MHG,84,Upper German,1,gëlten,gelten,gelten,lte,lte,no,no,630528
uertriben,vertriben,ver-trîben,--,1145.0,M121Y,286,0.1108838294156965,18,0.0069787025506382,MHG,12,Upper German,3,trîben,vertriben,trîben,trib,trib,no,no,64758
ergæbe,ergæbe,er-gëben,--,1145.0,M121Y,118,0.0457492722764062,3,0.001163117091773,MHG,21,Upper German,3,gëben,ergæbe,geben,gäb,be,yes,yes,3796581
widerriet,widerriet,wider-râten,--,1145.0,M121Y,13,0.0050401740643498,3,0.001163117091773,MHG,48,Upper German,2,râten,wideriet,râten,ie,rat,yes,no,53392
uæhten,væhten,vëhten,--,1145.0,M121Y,340,0.1318199370676112,2,0.0007754113945153,MHG,20,Upper German,3,vëhten,væhten,vehten,väht,veht,yes,no,3324
gehulfen,gehülfen,ge-hëlfen,--,1145.0,M121Y,111,0.0430353323956024,3,0.001163117091773,MHG,2,Upper German,3,hëlfen,gehülfen,helfen,hülf,helf,yes,no,445173
beuant,bevant,be-vinden,--,1145.0,M121Y,77,0.0298533386888413,2,0.0007754113945153,MHG,38,Upper German,2,vinden,bevant,vindet,van,vind,yes,no,2586288
uerraten,verrâten,ver-râten,--,1145.0,M121Y,167,0.0647468514420325,17,0.0065909968533805,MHG,48,Upper German,4,râten,verâten,râten,at,rat,no,no,53392
gelanch,gelanc,ge-lingen,--,1145.0,M121Y,60,0.0232623418354608,4,0.0015508227890307,MHG,114,Upper German,2,lingen,gelanc,gelingen,lanc,ling,yes,yes,306444
gefloch,gevlôch,ge-vlièhen,--,1145.0,M121Y,16,0.0062032911561228,1,0.0003877056972576,MHG,83,Upper German,2,vlièhen,gevlôch,vliehen,vloχ,vlieh,yes,yes,61334
uerzech,verzêch,ver-zîhen,--,1145.0,M121Y,294,0.1139854749937579,2,0.0007754113945153,MHG,17,Upper German,2,zîhen,verzêch,verzîhen,zeχ,zih,yes,yes,301418
reſlichen,erslichen,er-slîchen,--,1145.0,M121Y,6,0.002326234183546,1,0.0003877056972576,MHG,174,Upper German,3,slîchen,erslichen,slîchet,sliχ,sliχ,no,no,6228
vernemint,vernement,ver-nëmen,|v=v|e=e|r=r|=-|[n]=n|[e]=ë|[m]=m|[i]=e|n=n|t=t|,1193.0,M132G,1523,0.5904757769234468,2,0.0007754113945153,MHG,47,Upper German,1,nëmen,vernement,nemen,nem,nem,no,no,1089016
verſten,verstên,ver-stân,|v=v|e=e|r=r|=-|s=s|t=t|e=ê|n=n|,1193.0,M132G,456,0.1767937979495021,11,0.0042647626698344,MHG,9,Upper German,1,stân,verstên,stêt,ste,ste,no,no,1656734
ſ,sprach,sprëchen,|s=s|=prach|,1193.0,M132G,11533,4.471409806472824,213,0.0825813135158858,MHG,27,Upper German,2,sprëchen,sprach,sprechen,spraχ,spreχ,yes,no,559127
ſtvnt,stuont,stân,|s=s|t=t|v=uo|n=n|t=t|,1193.0,M132G,2872,1.113490762524057,70,0.0271393988080376,MHG,9,Upper German,2,stân,stuont,stêt,stuon,ste,yes,no,1656734
det,tet,tuon,|d=t|e=ë|t=t|,1193.0,M132G,8576,3.3249640596818644,100,0.038770569725768,MHG,14,Upper German,2,tuon,tet,tuon,te,tuo,yes,no,816544
betrogin,betrogen,be-triègen,*|[betrogin]=[be-trogen]|,1193.0,M132G,221,0.0856829590939473,10,0.0038770569725768,MHG,63,Upper German,4,triègen,betrogen,betriegen,trog,trieg,yes,no,6936
vallin,vallen,vallen,*|[vallin]=[vallen]|,1193.0,M132G,860,0.3334268996416049,14,0.0054278797616075,MHG,31,Upper German,1,vallen,valen,gevelet,val,vel,yes,no,255517
gewichin,gewîchen,ge-wîchen,|g=g|e=e|=-|w=w|i=î|ch=ch|i=e|n=n|,1193.0,M132G,13,0.0050401740643498,3,0.001163117091773,MHG,15,Upper German,1,wîchen,gewîchen,entwîchen,wiχ,wiχ,no,no,6550
kvmit,kumet,komen,*|[kvmit]=[kumet]|,1193.0,M132G,8461,3.280377904497231,24,0.0093049367341843,MHG,3,Upper German,1,komen,kumet,kumet,kum,kum,no,no,2282150
gevielin,gevielen,ge-vallen,*|[gevielin]=[ge-vièlen]|,1193.0,M132G,439,0.1702028010961215,1,0.0003877056972576,MHG,31,Upper German,3,vallen,gevielen,gevelet,viel,vel,yes,no,255517
geſahin,gesâhen,ge-sëhen,|g=g|e=e|=-|s=s|a=â|*[zin*]=|h=h|i=e|n=n|,1193.0,M132G,1120,0.4342303809286016,11,0.0042647626698344,MHG,22,Upper German,3,sëhen,gesâhen,sehen,sah,seh,yes,no,2454558
kom,kom,komen,*|[kom]=[kom]|,1193.0,M132G,8461,3.280377904497231,382,0.1481035763524338,MHG,3,Upper German,2,komen,kom,kumet,kom,kum,yes,no,2282150
behalten,behalten,be-halten,*|[behalten]=[be-halten]|,1193.0,M132G,1035,0.4012753966616988,200,0.077541139451536,MHG,24,Upper German,4,halten,behalten,behalten,halt,halt,no,no,748357
viengin,viengen,vâhen,|v=v|ie=iè|n=n|g=g|i=e|n=n|,1193.0,M132G,847,0.328386725577255,6,0.002326234183546,MHG,19,Upper German,3,vâhen,viengen,entvâhen,vieng,vah,yes,yes,75600
chomin,komen,komen,*|[chomin]=[komen]|,1193.0,M132G,8461,3.280377904497231,73,0.0283025158998106,MHG,3,Upper German,1,komen,komen,kumet,kom,kum,yes,no,2282150
ſprechint,sprechent,sprëchen,|s=s|p=p|r=r|e=ë|[ch]=ch|[i]=e|[n]=n|[t]=t|,1193.0,M132G,11533,4.471409806472824,39,0.0151205221930495,MHG,27,Upper German,1,sprëchen,sprechent,sprechen,spreχ,spreχ,no,no,559127
komint,koment,komen,*|[komint]=[koment]|,1193.0,M132G,8461,3.280377904497231,8,0.0031016455780614,MHG,3,Upper German,1,komen,koment,kumet,kom,kum,yes,no,2282150
get,gêt,gân,|g=g|[e]=ê|[t]=t|,1193.0,M132G,3931,1.5240710959199404,359,0.1391863453155071,MHG,1,Upper German,1,gân,gêt,gên,ge,ge,no,no,1624058
irſterbint,ersterbent,er-stërben,|i=e|r=r|=-|s=s|t=t|e=ë|r=r|[b]=b|[i]=e|[n]=n|[t]=t|,1193.0,M132G,342,0.1325953484621266,2,0.0007754113945153,MHG,10,Upper German,1,stërben,ersterbent,sterben,sterb,sterb,no,no,381096
varint,varent,var(e)n,*|[varint]=[var(e)nt]|,1193.0,M132G,2188,0.848300065599804,9,0.0034893512753191,MHG,89,Upper German,1,varen,varent,varn,var,var,no,no,228317
rinnit,rinnet,rinnen,|r=r|i=i|n[n]=nn|[i]=e|[t]=t|,1193.0,M132G,107,0.0414845096065717,10,0.0038770569725768,MHG,166,Upper German,1,rinnen,rinet,zerinet,rin,in,no,no,2717
ſtinkit,stinket,stinken,*|[stinkit]=[stinket]|,1193.0,M132G,32,0.0124065823122457,1,0.0003877056972576,MHG,200,Upper German,1,stinken,stinket,stinket,stink,stink,no,no,3602
vb͛triffit,übertriffet,über-trëffen,*|[vb'triffit]=[über-triffet]|,1193.0,M132G,15,0.0058155854588652,1,0.0003877056972576,MHG,62,Upper German,1,trëffen,übertrifet,übertrifet,trif,trif,no,no,297802
brinnit,brinnet,brinnen,*|[brinnit]=[brinnet]|,1193.0,M132G,197,0.0763780223597629,5,0.0019385284862884,MHG,72,Upper German,1,brinnen,brinet,brinen,brin,brin,no,no,33558
loͮfit,loufet,loufen,*|[lo\vfit]=[loufet]|,1193.0,M132G,353,0.136860111131961,26,0.0100803481286996,MHG,5,Upper German,1,loufen,loufet,löufet,louf,löuf,yes,no,251388
loͮfit,löufet,loufen,|l=l|o\v=öu|f=f|i=e|t=t|,1193.0,M132G,353,0.136860111131961,26,0.0100803481286996,MHG,5,Upper German,1,loufen,löufet,löufet,löuf,löuf,no,no,251388
ſehin,sehen,sëhen,|s=s|e=ë|h=h|i=e|n=n|,1193.0,M132G,4169,1.6163450518672682,31,0.012018876614988,MHG,22,Upper German,1,sëhen,sehen,sehen,seh,seh,no,no,2454558
loͮfint,loufent,loufen,|l=l|o\v=ou|f=f|i=e|n=n|t=t|,1193.0,M132G,353,0.136860111131961,2,0.0007754113945153,MHG,5,Upper German,1,loufen,loufent,löufet,louf,löuf,yes,no,251388
gien⸗gin,giengen,gân/unter>+,|g=g|ie=iè|n=n|[g]=g|[i]=e|[n]=n|,1193.0,M132G,10,0.0038770569725768,1,0.0003877056972576,MHG,1,Upper German,3,gân,giengen,gên,gieng,ge,yes,yes,1624058
zerbreche,zerbreche,zer-brëchen,*|[zerbreche]=[zer-brëche]|,1193.0,M132G,319,0.1236781174251999,2,0.0007754113945153,MHG,29,Upper German,1,brëchen,zerbreche,brechen,breχ,breχ,no,no,93407
ſte,stê,stân,|s=s|t=t|e=ê|,1193.0,M132G,2872,1.113490762524057,74,0.0286902215970683,MHG,9,Upper German,1,stân,stê,stêt,ste,ste,no,no,1656734
gewegin,gewegen,ge-wëgen,*|[gewegin]=[ge-wëgen]|,1193.0,M132G,21,0.0081418196424112,1,0.0003877056972576,MHG,101,Upper German,4,wëgen,gewegen,wegen,weg,weg,no,no,6407
loͮfe,loufe,loufen,|l=l|o\v=ou|f=f|e=e|,1193.0,M132G,353,0.136860111131961,5,0.0019385284862884,MHG,5,Upper German,1,loufen,loufe,löufet,louf,löuf,yes,no,251388
geſtan,gestân,ge-stân,*|[gestan]=[ge-stân]|,1193.0,M132G,243,0.0942124844336162,60,0.0232623418354608,MHG,9,Upper German,1,stân,gestân,stêt,sta,ste,yes,no,1656734
nemint,nement,nëmen,*|[nemint]=[nëment]|,1193.0,M132G,4030,1.5624539599484506,8,0.0031016455780614,MHG,47,Upper German,1,nëmen,nement,nemen,nem,nem,no,no,1089016
irſchinint,erschînent,er-schînen,*|[irschinint]=[er-schînent]|,1193.0,M132G,392,0.1519806333250105,1,0.0003877056972576,MHG,95,Upper German,1,schînen,erschînent,schînet,ʃin,ʃin,no,no,527073
