form_id,time,time_since_prev,obs_v,obs_c,dialect_group
kièsen_Ind.Past.Sg.3,1050,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1050,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1080,30.0,1,1,Central German
kièsen_Ind.Past.Sg.3,1100,20.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1120,20.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1125,5.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1125,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1130,5.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1140,10.0,1,1,Central German
kièsen_Ind.Past.Sg.3,1140,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1140,0.0,1,1,Central German
kièsen_Ind.Past.Sg.3,1140,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1150,10.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1150,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1150,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1150,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1150,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1160,10.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1172,12.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1172,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1180,8.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1180,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1180,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1180,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1190,10.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1195,5.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1200,5.0,1,1,Central German
kièsen_Ind.Past.Sg.3,1200,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1210,10.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1210,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1225,15.0,1,1,Central German
kièsen_Ind.Past.Sg.3,1225,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1225,0.0,1,1,Central German
kièsen_Ind.Past.Sg.3,1225,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1225,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1250,25.0,1,1,Central German
kièsen_Ind.Past.Sg.3,1250,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1250,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1250,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1250,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1250,0.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1250,0.0,1,1,Central German
kièsen_Ind.Past.Sg.3,1269,19.0,1,1,Central German
kièsen_Ind.Past.Sg.3,1275,6.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1293,18.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1301,8.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1325,24.0,1,1,Upper German
kièsen_Ind.Past.Sg.3,1325,0.0,1,1,Central German
kièsen_Ind.Past.Sg.3,1325,0.0,1,1,Central German
kièsen_Ind.Past.Sg.3,1336,11.0,1,1,Upper German
kièsen_Ind.Pres.Pl.3,1150,0.0,1,1,Upper German
kièsen_Ind.Pres.Pl.3,1160,10.0,1,1,Central German
kièsen_Ind.Pres.Pl.3,1180,20.0,0,1,Upper German
kièsen_Ind.Pres.Pl.3,1300,120.0,1,1,Upper German
kièsen_Ind.Pres.Sg.1,1140,0.0,0,1,Upper German
kièsen_Ind.Pres.Sg.1,1200,60.0,1,1,Upper German
kièsen_Ind.Pres.Sg.1,1210,10.0,1,1,Upper German
kièsen_Ind.Pres.Sg.1,1225,15.0,1,1,Upper German
kièsen_Ind.Pres.Sg.1,1250,25.0,0,1,Central German
kièsen_Ind.Pres.Sg.1,1250,0.0,0,1,Central German
kièsen_Ind.Pres.Sg.2,1065,0.0,1,1,Upper German
kièsen_Ind.Pres.Sg.2,1140,75.0,1,1,Central German
kièsen_Ind.Pres.Sg.2,1140,0.0,1,1,Central German
kièsen_Ind.Pres.Sg.2,1140,0.0,1,1,Upper German
kièsen_Ind.Pres.Sg.2,1150,10.0,1,1,Upper German
kièsen_Ind.Pres.Sg.2,1350,200.0,1,1,Central German
kièsen_Ind.Pres.Sg.3,1050,0.0,1,1,Upper German
kièsen_Ind.Pres.Sg.3,1050,0.0,1,1,Upper German
kièsen_Ind.Pres.Sg.3,1070,20.0,1,1,Upper German
kièsen_Ind.Pres.Sg.3,1140,70.0,1,1,Central German
kièsen_Ind.Pres.Sg.3,1140,0.0,1,1,Upper German
kièsen_Ind.Pres.Sg.3,1140,0.0,1,1,Central German
kièsen_Ind.Pres.Sg.3,1150,10.0,1,1,Upper German
kièsen_Ind.Pres.Sg.3,1150,0.0,1,1,Upper German
kièsen_Ind.Pres.Sg.3,1160,10.0,1,1,Upper German
kièsen_Ind.Pres.Sg.3,1200,40.0,1,1,Upper German
kièsen_Ind.Pres.Sg.3,1225,25.0,1,1,Central German
kièsen_Ind.Pres.Sg.3,1225,0.0,1,1,Central German
kièsen_Ind.Pres.Sg.3,1225,0.0,1,1,Central German
kièsen_Ind.Pres.Sg.3,1250,25.0,1,1,Central German
kièsen_Ind.Pres.Sg.3,1272,22.0,1,1,Upper German
