form,norm,lemma,inflClass,infl,date,id,lemma_count,lemma_freq_per_1000,form_count,form_freq_per_1000,corpus,lemma_id,variety,principal_part
weíz,weíz,wissen,Unr,1.Sg.Präs.Ind,1363.0,t13781,2994,11.409930526708916,8,0.0304874563171914,ENHG,221,Upper German,1
gātz,gātz,essen,St|Unr,past_participle,1363.0,t13796,1272,4.847505554433448,18,0.0685967767136808,ENHG,102,Upper German,4
haltend,haltend,halten,St,3.Pl.Präs.Ind,1363.0,t13797,2619,9.980831011840566,22,0.0838405048722766,ENHG,24,Upper German,1
haltend,haltend,halten,St,3.Pl.Präs.Ind,1363.0,t13797,2619,9.980831011840566,22,0.0838405048722766,ENHG,24,Upper German,1
hellt,hellt,halten,St,3.Sg.Präs.Ind,1363.0,t13815,2619,9.980831011840566,19,0.0724077087533298,ENHG,24,Upper German,1
hellt,hellt,halten,St,3.Sg.Präs.Ind,1363.0,t13815,2619,9.980831011840566,19,0.0724077087533298,ENHG,24,Upper German,1
ſprícht,ſprícht,sprechen,St,3.Sg.Präs.Ind,1363.0,t13823,8120,30.94476816194937,95,0.362038543766649,ENHG,27,Upper German,1
ſpricht,ſpricht,sprechen,St,3.Sg.Präs.Ind,1363.0,t13858,8120,30.94476816194937,2138,8.147772700769428,ENHG,27,Upper German,1
er,erhebt,erheben,St,3.Sg.Präs.Ind,1363.0,t13901,168,0.6402365826610213,52,0.1981684660617447,ENHG,90,Upper German,1
ſprícht,ſprícht,sprechen,St,3.Sg.Präs.Ind,1363.0,t13924,8120,30.94476816194937,95,0.362038543766649,ENHG,27,Upper German,1
kuͦmt,kuͦmt,kommen,St,3.Sg.Präs.Ind,1363.0,t13946,7651,29.15744103535402,7,0.0266765242775425,ENHG,3,Upper German,1
gíbt,gíbt,geben,St,3.Sg.Präs.Ind,1363.0,t13987,6017,22.930378082567653,26,0.0990842330308723,ENHG,21,Upper German,1
gibt,gibt,geben,St,3.Sg.Präs.Ind,1363.0,t13992,6017,22.930378082567653,934,3.559410525032107,ENHG,21,Upper German,1
gend,gend,gehen,St,3.Pl.Präs.Ind,1363.0,t14015,4922,18.757407499152063,40,0.1524372815859574,ENHG,1,Upper German,1
ſpricht,ſpricht,sprechen,St,3.Sg.Präs.Ind,1363.0,t14042,8120,30.94476816194937,2138,8.147772700769428,ENHG,27,Upper German,1
ſpríngt,ſpríngt,springen,St,3.Sg.Präs.Ind,1363.0,t14063,54,0.2057903301410426,2,0.0076218640792978,ENHG,88,Upper German,1
ſpríngt,ſpríngt,springen,St,3.Sg.Präs.Ind,1363.0,t14063,54,0.2057903301410426,2,0.0076218640792978,ENHG,88,Upper German,1
ſtet,ſtet,stehen,Unr,3.Sg.Präs.Ind,1363.0,t14113,2583,9.843637458413204,464,1.7682724663971068,ENHG,9,Upper German,1
víntt,víntt,finden,St,3.Sg.Präs.Ind,1363.0,t14185,2689,10.24759625461599,1,0.0038109320396489,ENHG,38,Upper German,1
weíz,weíz,wissen,Unr,1.Sg.Präs.Ind,1363.0,t14204,2994,11.409930526708916,8,0.0304874563171914,ENHG,221,Upper German,1
paten,paten,bitten,St,3.Pl.Prät.Ind,1363.0,t14235,1532,5.838347884742172,15,0.057163980594734,ENHG,67,Upper German,3
paten,paten,bitten,St,3.Pl.Prät.Ind,1363.0,t14235,1532,5.838347884742172,15,0.057163980594734,ENHG,67,Upper German,3
príngen,príngen,bringen,St|Sw|Unr,infinitive,1363.0,t14238,2168,8.262100661958895,5,0.0190546601982446,ENHG,73,Upper German,1
príngen,príngen,bringen,St|Sw|Unr,infinitive,1363.0,t14238,2168,8.262100661958895,5,0.0190546601982446,ENHG,73,Upper German,1
vant,vant,finden,St,3.Sg.Prät.Ind,1363.0,t14256,2689,10.24759625461599,86,0.3277401554098086,ENHG,38,Upper German,2
ſetzen,ſetzen,setzen,St|Sw|Unr,infinitive,1363.0,t14282,1699,6.474773535363544,394,1.501507223621681,ENHG,190,Upper German,1
ga‍eb,ga‍eb,geben,St,3.Sg.Prät.Konj,1363.0,t14286,6017,22.930378082567653,1,0.0038109320396489,ENHG,21,Upper German,3
choͤmen,choͤmen,kommen,St|Sw|Unr,past_participle,1363.0,t14301,7651,29.15744103535402,13,0.0495421165154361,ENHG,3,Upper German,4
chomen,chomen,kommen,St|Sw|Unr,past_participle,1363.0,t14311,7651,29.15744103535402,45,0.1714919417842021,ENHG,3,Upper German,4
ſpricht,ſpricht,sprechen,St,3.Sg.Präs.Ind,1363.0,t14328,8120,30.94476816194937,2138,8.147772700769428,ENHG,27,Upper German,1
chomen,chomen,kommen,St|Sw|Unr,past_participle,1363.0,t14335,7651,29.15744103535402,45,0.1714919417842021,ENHG,3,Upper German,4
ſpricht,ſpricht,sprechen,St,3.Sg.Präs.Ind,1363.0,t14341,8120,30.94476816194937,2138,8.147772700769428,ENHG,27,Upper German,1
chomen,chomen,kommen,St|Sw|Unr,past_participle,1363.0,t14345,7651,29.15744103535402,45,0.1714919417842021,ENHG,3,Upper German,4
ſtírbt,ſtírbt,sterben,St,3.Sg.Präs.Ind,1363.0,t14402,1446,5.510607729332363,5,0.0190546601982446,ENHG,10,Upper German,1
choͤment,choͤment,kommen,St,3.Pl.Präs.Ind,1363.0,t14472,7651,29.15744103535402,6,0.0228655922378936,ENHG,3,Upper German,1
geporen,geporen,gebären,St|Sw,past_participle,1363.0,t14495,948,3.612763573587192,17,0.0647858446740319,ENHG,110,Upper German,4
chuͦmpt,chuͦmpt,kommen,St,3.Sg.Präs.Ind,1363.0,t14519,7651,29.15744103535402,1,0.0038109320396489,ENHG,3,Upper German,1
chuͦmt,chuͦmt,kommen,St,3.Sg.Präs.Ind,1363.0,t14545,7651,29.15744103535402,1,0.0038109320396489,ENHG,3,Upper German,1
geſchicht,geſchicht,geschehen,St,3.Sg.Präs.Ind,1363.0,t14627,2302,8.772765555271853,394,1.501507223621681,ENHG,118,Upper German,1
gepricht,gepricht,gebrechen,St,3.Sg.Präs.Ind,1363.0,t14659,17,0.0647858446740319,4,0.0152437281585957,ENHG,29,Upper German,1
geſchicht,geſchicht,geschehen,St,3.Sg.Präs.Ind,1363.0,t14675,2302,8.772765555271853,394,1.501507223621681,ENHG,118,Upper German,1
geſchícht,geſchícht,geschehen,St,3.Sg.Präs.Ind,1363.0,t14705,2302,8.772765555271853,20,0.0762186407929787,ENHG,118,Upper German,1
geſehē,geſehē,sehen,St|Sw|Unr,past_participle,1363.0,t14780,3059,11.657641109286097,33,0.1257607573084149,ENHG,22,Upper German,4
geporn,geporn,gebären,St|Sw,past_participle,1363.0,t14794,948,3.612763573587192,53,0.2019793981013936,ENHG,110,Upper German,4
geſchicht,geſchicht,geschehen,St,3.Sg.Präs.Ind,1363.0,t14796,2302,8.772765555271853,394,1.501507223621681,ENHG,118,Upper German,1
geſchícht,geſchícht,geschehen,St,3.Sg.Präs.Ind,1363.0,t14855,2302,8.772765555271853,20,0.0762186407929787,ENHG,118,Upper German,1
geníſt,geníſt,genesen,St,3.Sg.Präs.Ind,1363.0,t14878,164,0.6249928545024256,2,0.0076218640792978,ENHG,117,Upper German,1
geporn,geporn,gebären,St|Sw,past_participle,1363.0,t14884,948,3.612763573587192,53,0.2019793981013936,ENHG,110,Upper German,4
ge=,geporn,gebären,St|Sw,past_participle,1363.0,t14893,948,3.612763573587192,53,0.2019793981013936,ENHG,110,Upper German,4
vínden,vínden,finden,St,1.Pl.Präs.Ind,1363.0,t14922,2689,10.24759625461599,18,0.0685967767136808,ENHG,38,Upper German,1
ſehen,ſehen,ansehen,St|Sw|Unr,infinitive,1363.0,t14945,729,2.778169456904075,928,3.5365449327942136,ENHG,22,Upper German,1
ſehen,ſehen,ansehen,St|Sw|Unr,infinitive,1363.0,t14954,729,2.778169456904075,928,3.5365449327942136,ENHG,22,Upper German,1
choment,choment,kommen,St,3.Pl.Präs.Ind,1363.0,t14970,7651,29.15744103535402,5,0.0190546601982446,ENHG,3,Upper German,1
pringt,pringt,bringen,Unr,3.Sg.Präs.Ind,1363.0,t14984,2168,8.262100661958895,75,0.2858199029736702,ENHG,73,Upper German,1
pringt,pringt,bringen,Unr,3.Sg.Präs.Ind,1363.0,t14984,2168,8.262100661958895,75,0.2858199029736702,ENHG,73,Upper German,1
pringt,pringt,bringen,Unr,3.Sg.Präs.Ind,1363.0,t15002,2168,8.262100661958895,75,0.2858199029736702,ENHG,73,Upper German,1
pringt,pringt,bringen,Unr,3.Sg.Präs.Ind,1363.0,t15002,2168,8.262100661958895,75,0.2858199029736702,ENHG,73,Upper German,1
trug,trug,tragen,St,3.Sg.Prät.Ind,1363.0,t15008,1310,4.992320971940107,42,0.1600591456652553,ENHG,11,Upper German,2
trug,trug,tragen,St,3.Sg.Prät.Ind,1363.0,t15008,1310,4.992320971940107,42,0.1600591456652553,ENHG,11,Upper German,2
ſchreibt,ſchreibt,schreiben,St,3.Sg.Präs.Ind,1363.0,t15017,1069,4.073886350384714,175,0.666913106938564,ENHG,26,Upper German,1
choment,choment,kommen,St,3.Pl.Präs.Ind,1363.0,t15027,7651,29.15744103535402,5,0.0190546601982446,ENHG,3,Upper German,1
erzogen,erzogen,erziehen,St,past_participle,1363.0,t15131,63,0.240088718497883,43,0.1638700777049043,ENHG,17,Upper German,4
choͤmen,choͤmen,kommen,St|Sw|Unr,past_participle,1363.0,t15149,7651,29.15744103535402,13,0.0495421165154361,ENHG,3,Upper German,4
geporn,geporn,gebären,St|Sw,past_participle,1363.0,t15169,948,3.612763573587192,53,0.2019793981013936,ENHG,110,Upper German,4
geſpro=,geſprochen,sprechen,St,past_participle,1363.0,t15173,8120,30.94476816194937,210,0.8002957283262768,ENHG,27,Upper German,4
choment,choment,kommen,St,3.Pl.Präs.Ind,1363.0,t15180,7651,29.15744103535402,5,0.0190546601982446,ENHG,3,Upper German,1
geporn,geporn,gebären,St|Sw,past_participle,1363.0,t15222,948,3.612763573587192,53,0.2019793981013936,ENHG,110,Upper German,4
be=,beſchaffen,beschaffen,St,past_participle,1363.0,t15263,71,0.2705761748150745,54,0.2057903301410426,ENHG,6,Upper German,4
gangen,gangen,gehen,St|Sw|Unr,past_participle,1363.0,t15315,4922,18.757407499152063,273,1.04038444682416,ENHG,1,Upper German,4
gend,gend,gehen,St,3.Pl.Präs.Ind,1363.0,t15318,4922,18.757407499152063,40,0.1524372815859574,ENHG,1,Upper German,1
ezzent,ezzent,essen,St,3.Pl.Präs.Ind,1363.0,t15353,1272,4.847505554433448,8,0.0304874563171914,ENHG,102,Upper German,1
ſpríng=,ſpríngent,springen,St,3.Pl.Präs.Ind,1363.0,t15393,54,0.2057903301410426,1,0.0038109320396489,ENHG,88,Upper German,1
ſpríng=,ſpríngent,springen,St,3.Pl.Präs.Ind,1363.0,t15393,54,0.2057903301410426,1,0.0038109320396489,ENHG,88,Upper German,1
geperent,geperent,gebären,St,3.Pl.Präs.Ind,1363.0,t15420,948,3.612763573587192,2,0.0076218640792978,ENHG,110,Upper German,1
gepe,geperent,gebären,St,3.Pl.Präs.Ind,1363.0,t15445,948,3.612763573587192,2,0.0076218640792978,ENHG,110,Upper German,1
ezzend,ezzend,essen,St,3.Pl.Präs.Ind,1363.0,t15460,1272,4.847505554433448,5,0.0190546601982446,ENHG,102,Upper German,1
trínchent,trínchent,trinken,St,3.Pl.Präs.Ind,1363.0,t15464,744,2.835333437498809,4,0.0152437281585957,ENHG,97,Upper German,1
trínchent,trínchent,trinken,St,3.Pl.Präs.Ind,1363.0,t15464,744,2.835333437498809,4,0.0152437281585957,ENHG,97,Upper German,1
zíehent,zíehent,ziehen,St,3.Pl.Präs.Ind,1363.0,t15550,1321,5.034241224376246,1,0.0038109320396489,ENHG,17,Upper German,1
ezzent,ezzent,essen,St,3.Pl.Präs.Ind,1363.0,t15554,1272,4.847505554433448,8,0.0304874563171914,ENHG,102,Upper German,1
ezzent,ezzent,essen,St,3.Pl.Präs.Ind,1363.0,t15560,1272,4.847505554433448,8,0.0304874563171914,ENHG,102,Upper German,1
lavffent,lavffent,laufen,St,3.Pl.Präs.Ind,1363.0,t15609,467,1.7797052625160534,1,0.0038109320396489,ENHG,5,Upper German,1
gibt,gibt,geben,St,3.Sg.Präs.Ind,1363.0,t15623,6017,22.930378082567653,934,3.559410525032107,ENHG,21,Upper German,1
gen,gen,gehen,St|Sw|Unr,infinitive,1363.0,t15696,4922,18.757407499152063,50,0.1905466019824468,ENHG,1,Upper German,1
tragent,tragent,tragen,St,3.Pl.Präs.Ind,1363.0,t15698,1310,4.992320971940107,16,0.0609749126343829,ENHG,11,Upper German,1
tragent,tragent,tragen,St,3.Pl.Präs.Ind,1363.0,t15698,1310,4.992320971940107,16,0.0609749126343829,ENHG,11,Upper German,1
ſtuͦr=,ſtuͦrben,sterben,St,3.Pl.Prät.Konj,1363.0,t15706,1446,5.510607729332363,1,0.0038109320396489,ENHG,10,Upper German,3
ſtreitent,ſtreitent,streiten,St,3.Pl.Präs.Ind,1363.0,t15778,127,0.483988369035415,1,0.0038109320396489,ENHG,60,Upper German,1
chuͤmt,chuͤmt,kommen,St,3.Sg.Präs.Ind,1363.0,t15795,7651,29.15744103535402,6,0.0228655922378936,ENHG,3,Upper German,1
choͤment,choͤment,kommen,St,3.Pl.Präs.Ind,1363.0,t15804,7651,29.15744103535402,6,0.0228655922378936,ENHG,3,Upper German,1
