form_id,time,time_since_prev,obs_v,obs_c,lemma_id,principal_part_id,dialect_group
kièsen_1,1225,5.0,1,1,6,1,Upper German
kièsen_1,1225,0.0,1,1,6,1,Upper German
kièsen_1,1225,0.0,1,1,6,1,Upper German
kièsen_1,1225,0.0,1,1,6,1,Upper German
kièsen_1,1225,0.0,1,1,6,1,Upper German
kièsen_1,1225,0.0,1,1,6,1,Upper German
kièsen_1,1225,0.0,1,1,6,1,Central German
kièsen_1,1225,0.0,1,1,6,1,Central German
kièsen_1,1225,0.0,1,1,6,1,Upper German
kièsen_1,1225,0.0,1,1,6,1,Central German
kièsen_1,1225,0.0,1,1,6,1,Central German
kièsen_1,1225,0.0,1,1,6,1,Upper German
kièsen_1,1225,0.0,1,1,6,1,Upper German
kièsen_1,1225,0.0,1,1,6,1,Central German
kièsen_1,1250,25.0,1,1,6,1,Central German
kièsen_1,1250,0.0,0,1,6,1,Central German
kièsen_1,1250,0.0,1,1,6,1,Upper German
kièsen_1,1250,0.0,1,1,6,1,Upper German
kièsen_1,1250,0.0,1,1,6,1,Central German
kièsen_1,1250,0.0,1,0,6,1,Central German
kièsen_1,1250,0.0,1,1,6,1,Central German
kièsen_1,1250,0.0,1,1,6,1,Central German
kièsen_1,1250,0.0,1,1,6,1,Central German
kièsen_1,1250,0.0,0,1,6,1,Central German
kièsen_1,1250,0.0,1,1,6,1,Central German
kièsen_1,1250,0.0,1,1,6,1,Upper German
kièsen_1,1272,22.0,1,1,6,1,Upper German
kièsen_1,1275,3.0,1,0,6,1,Upper German
kièsen_1,1275,0.0,1,1,6,1,Upper German
kièsen_1,1275,0.0,1,1,6,1,Upper German
kièsen_1,1280,5.0,1,1,6,1,Upper German
kièsen_1,1285,5.0,1,1,6,1,Upper German
kièsen_1,1293,8.0,1,1,6,1,Upper German
kièsen_1,1300,7.0,1,1,6,1,Upper German
kièsen_1,1300,0.0,1,1,6,1,Upper German
kièsen_1,1321,21.0,1,1,6,1,Central German
kièsen_1,1321,0.0,1,1,6,1,Central German
kièsen_1,1321,0.0,0,1,6,1,Central German
kièsen_1,1321,0.0,1,1,6,1,Central German
kièsen_1,1325,4.0,1,1,6,1,Central German
kièsen_1,1341,16.0,1,1,6,1,Upper German
kièsen_1,1342,1.0,1,1,6,1,Upper German
kièsen_1,1342,0.0,1,1,6,1,Upper German
kièsen_1,1350,8.0,1,1,6,1,Central German
kièsen_1,1350,0.0,1,1,6,1,Central German
kièsen_2,1050,0.0,1,1,6,2,Upper German
kièsen_2,1050,0.0,1,1,6,2,Upper German
kièsen_2,1080,30.0,1,1,6,2,Central German
kièsen_2,1100,20.0,1,1,6,2,Upper German
kièsen_2,1120,20.0,1,1,6,2,Upper German
kièsen_2,1125,5.0,1,1,6,2,Upper German
kièsen_2,1125,0.0,1,1,6,2,Upper German
kièsen_2,1130,5.0,1,1,6,2,Upper German
kièsen_2,1140,10.0,1,1,6,2,Central German
kièsen_2,1140,0.0,1,1,6,2,Upper German
kièsen_2,1140,0.0,1,1,6,2,Central German
kièsen_2,1140,0.0,1,1,6,2,Upper German
kièsen_2,1150,10.0,1,1,6,2,Upper German
kièsen_2,1150,0.0,1,1,6,2,Upper German
kièsen_2,1150,0.0,1,1,6,2,Upper German
kièsen_2,1150,0.0,1,1,6,2,Upper German
kièsen_2,1150,0.0,1,1,6,2,Upper German
kièsen_2,1160,10.0,1,1,6,2,Upper German
kièsen_2,1160,0.0,1,1,6,2,Upper German
kièsen_2,1172,12.0,1,1,6,2,Upper German
kièsen_2,1172,0.0,1,1,6,2,Upper German
kièsen_2,1175,3.0,1,1,6,2,Upper German
kièsen_2,1180,5.0,1,1,6,2,Upper German
kièsen_2,1180,0.0,1,1,6,2,Upper German
kièsen_2,1180,0.0,1,1,6,2,Upper German
kièsen_2,1180,0.0,1,1,6,2,Upper German
kièsen_2,1190,10.0,1,1,6,2,Upper German
kièsen_2,1190,0.0,1,1,6,2,Upper German
kièsen_2,1190,0.0,1,1,6,2,Upper German
kièsen_2,1195,5.0,1,1,6,2,Upper German
kièsen_2,1200,5.0,1,1,6,2,Central German
kièsen_2,1200,0.0,1,1,6,2,Upper German
kièsen_2,1200,0.0,1,1,6,2,Upper German
kièsen_2,1210,10.0,1,1,6,2,Upper German
kièsen_2,1210,0.0,1,1,6,2,Upper German
kièsen_2,1225,15.0,1,1,6,2,Central German
kièsen_2,1225,0.0,1,1,6,2,Upper German
kièsen_2,1225,0.0,1,1,6,2,Central German
kièsen_2,1225,0.0,1,1,6,2,Upper German
