lemma_id,variety,std_infl,support_tokens,vowel_mode_support,vowel_mode_tied,coda_mode_support,coda_mode_tied
231,Central German,PastSg,9,9,False,9,False
231,Central German,Pres,8,8,False,8,False
231,Upper German,PastPl,20,20,False,20,False
231,Upper German,PastSg,26,26,False,26,False
231,Upper German,Pres,32,31,False,32,False
232,Central German,PastSg,9,9,False,9,False
232,Central German,Pres,5,3,False,5,False
232,Upper German,PastSg,8,8,False,8,False
232,Upper German,Pres,7,5,False,7,False
234,Central German,PastPl,2,2,False,2,False
234,Central German,Pres,2,1,True,1,True
234,Upper German,PastPl,1,1,False,1,False
234,Upper German,PastSg,8,8,False,8,False
234,Upper German,Pres,4,4,False,3,False
237,Central German,PastPl,23,23,False,23,False
237,Central German,PastSg,199,199,False,199,False
237,Central German,Pres,45,45,False,45,False
237,Upper German,PastPl,133,132,False,133,False
237,Upper German,PastSg,814,812,False,814,False
237,Upper German,Pres,427,427,False,427,False
238,Central German,PastPl,9,9,False,9,False
238,Central German,PastSg,5,5,False,5,False
238,Central German,Pres,17,13,False,15,False
238,Upper German,PastPl,45,45,False,45,False
238,Upper German,PastSg,25,25,False,25,False
238,Upper German,Pres,109,77,False,108,False
239,Central German,Pres,3,3,False,3,False
239,Upper German,PastPl,1,1,False,1,False
239,Upper German,PastSg,1,1,False,1,False
239,Upper German,Pres,2,2,False,2,False
24,Central German,PastPl,5,5,False,5,False
24,Central German,PastSg,16,16,False,16,False
24,Central German,Pres,34,30,False,34,False
24,Upper German,PastPl,53,53,False,53,False
24,Upper German,PastSg,65,65,False,65,False
24,Upper German,Pres,104,95,False,104,False
240,Central German,PastPl,11,11,False,11,False
240,Central German,PastSg,28,28,False,28,False
240,Central German,Pres,33,33,False,33,False
240,Upper German,PastPl,38,38,False,38,False
240,Upper German,PastSg,52,52,False,52,False
240,Upper German,Pres,97,97,False,97,False
241,Central German,PastSg,3,2,False,3,False
241,Central German,Pres,1,1,False,1,False
241,Upper German,PastSg,3,3,False,3,False
241,Upper German,Pres,1,1,False,1,False
244,Central German,PastPl,3,3,False,3,False
244,Central German,PastSg,1,1,False,1,False
244,Central German,Pres,3,3,False,3,False
244,Upper German,PastPl,4,4,False,4,False
244,Upper German,PastSg,1,1,False,1,False
244,Upper German,Pres,11,11,False,11,False
245,Central German,PastPl,1,1,False,1,False
245,Central German,PastSg,6,6,False,4,False
245,Central German,Pres,16,15,False,16,False
245,Upper German,PastPl,3,2,False,3,False
245,Upper German,PastSg,7,7,False,4,False
245,Upper German,Pres,69,69,False,69,False
249,Central German,PastPl,1,1,False,1,False
249,Central German,Pres,1,1,False,1,False
249,Upper German,PastPl,1,1,False,1,False
249,Upper German,Pres,7,7,False,7,False
25,Central German,PastPl,28,28,False,28,False
25,Central German,PastSg,79,79,False,79,False
25,Central German,Pres,20,19,False,17,False
25,Upper German,PastPl,101,101,False,101,False
25,Upper German,PastSg,283,283,False,283,False
25,Upper German,Pres,224,222,False,143,False
250,Central German,PastPl,4,4,False,4,False
250,Central German,PastSg,2,2,False,2,False
250,Upper German,PastPl,1,1,False,1,False
250,Upper German,PastSg,8,8,False,8,False
250,Upper German,Pres,4,4,False,4,False
251,Upper German,Pres,3,3,False,3,False
252,Central German,PastSg,1,1,False,1,False
252,Central German,Pres,1,1,False,1,False
252,Upper German,PastPl,3,3,False,3,False
252,Upper German,PastSg,21,21,False,21,False
252,Upper German,Pres,6,5,False,6,False
253,Central German,PastPl,9,9,False,9,False
253,Central German,PastSg,11,11,False,11,False
253,Central German,Pres,5,4,False,5,False
253,Upper German,PastPl,22,14,False,22,False
253,Upper German,PastSg,58,58,False,58,False
253,Upper German,Pres,16,9,False,16,False
254,Upper German,PastPl,4,4,False,4,False
254,Upper German,Pres,5,5,False,5,False
256,Central German,PastPl,3,3,False,3,False
256,Central German,PastSg,6,6,False,6,False
256,Central German,Pres,6,4,False,6,False
256,Upper German,PastPl,9,9,False,9,False
256,Upper German,PastSg,21,21,False,21,False
256,Upper German,Pres,11,8,False,11,False
257,Central German,PastSg,1,1,False,1,False
257,Central German,Pres,1,1,False,1,False
257,Upper German,PastSg,8,8,False,8,False
257,Upper German,Pres,6,6,False,6,False
258,Upper German,PastSg,1,1,False,1,False
258,Upper German,Pres,1,1,False,1,False
26,Central German,PastPl,2,2,False,2,False
26,Central German,PastSg,19,19,False,19,False
26,Central German,Pres,15,14,False,14,False
26,Upper German,PastPl,9,9,False,9,False
26,Upper German,PastSg,22,21,False,21,False
26,Upper German,Pres,40,38,False,38,False
260,Central German,PastPl,1,1,False,1,False
260,Central German,PastSg,2,2,False,2,False
260,Central German,Pres,5,5,False,5,False
260,Upper German,PastPl,1,1,False,1,False
260,Upper German,PastSg,2,2,False,2,False
260,Upper German,Pres,5,3,False,5,False
261,Central German,PastSg,1,1,False,1,False
261,Central German,Pres,2,2,False,2,False
261,Upper German,PastSg,3,2,False,3,False
261,Upper German,Pres,14,14,False,13,False
263,Central German,PastPl,2,2,False,2,False
263,Central German,PastSg,7,7,False,7,False
263,Central German,Pres,3,3,False,3,False
263,Upper German,PastPl,11,11,False,11,False
263,Upper German,PastSg,24,24,False,24,False
263,Upper German,Pres,21,14,False,21,False
264,Central German,PastSg,2,2,False,2,False
264,Central German,Pres,6,6,False,6,False
264,Upper German,PastPl,7,7,False,7,False
264,Upper German,PastSg,6,6,False,6,False
264,Upper German,Pres,40,40,False,40,False
266,Central German,PastSg,2,2,False,2,False
266,Central German,Pres,1,1,False,1,False
266,Upper German,PastPl,1,1,False,1,False
266,Upper German,PastSg,7,7,False,7,False
266,Upper German,Pres,4,4,False,4,False
267,Central German,PastSg,1,1,False,1,False
267,Upper German,PastPl,5,5,False,5,False
267,Upper German,PastSg,2,2,False,2,False
267,Upper German,Pres,9,9,False,9,False
268,Central German,PastSg,1,1,False,1,False
268,Upper German,PastSg,2,2,False,2,False
268,Upper German,Pres,4,4,False,4,False
27,Central German,PastPl,41,41,False,41,False
27,Central German,PastSg,324,322,False,322,False
27,Central German,Pres,52,30,False,52,False
27,Upper German,PastPl,283,283,False,283,False
27,Upper German,PastSg,2066,2056,False,2057,False
27,Upper German,Pres,306,158,False,306,False
270,Upper German,PastPl,1,1,False,1,False
270,Upper German,PastSg,1,1,False,1,False
270,Upper German,Pres,1,1,False,1,False
271,Central German,PastPl,4,4,False,4,False
271,Central German,PastSg,19,19,False,19,False
271,Central German,Pres,15,8,False,15,False
271,Upper German,PastPl,6,6,False,6,False
271,Upper German,PastSg,37,37,False,37,False
271,Upper German,Pres,25,18,False,25,False
272,Central German,PastSg,23,23,False,13,False
272,Central German,Pres,11,6,False,11,False
272,Upper German,PastPl,11,10,False,10,False
272,Upper German,PastSg,47,47,False,45,False
272,Upper German,Pres,31,18,False,31,False
273,Central German,Pres,3,2,False,3,False
273,Upper German,PastSg,2,2,False,2,False
273,Upper German,Pres,8,5,False,8,False
274,Central German,PastPl,5,5,False,5,False
274,Central German,PastSg,13,12,False,13,False
274,Central German,Pres,10,9,False,10,False
274,Upper German,PastPl,24,24,False,24,False
274,Upper German,PastSg,62,53,False,62,False
274,Upper German,Pres,67,58,False,67,False
275,Central German,Pres,1,1,False,1,False
275,Upper German,PastPl,1,1,False,1,False
275,Upper German,PastSg,3,2,False,3,False
275,Upper German,Pres,11,7,False,11,False
276,Central German,PastPl,26,26,False,26,False
276,Central German,PastSg,77,77,False,77,False
276,Central German,Pres,27,27,False,27,False
276,Upper German,PastPl,73,73,False,73,False
276,Upper German,PastSg,171,171,False,171,False
276,Upper German,Pres,141,140,False,140,False
278,Central German,PastSg,1,1,False,1,False
278,Upper German,Pres,1,1,False,1,False
280,Upper German,Pres,9,9,False,9,False
281,Upper German,PastPl,2,2,False,2,False
281,Upper German,PastSg,2,2,False,2,False
282,Central German,Pres,2,1,True,1,True
282,Upper German,PastPl,5,5,False,5,False
282,Upper German,Pres,1,1,False,1,False
294,Central German,PastSg,2,2,False,2,False
294,Upper German,PastSg,8,8,False,8,False
294,Upper German,Pres,1,1,False,1,False
295,Central German,PastPl,13,13,False,13,False
